20260823 15:45:37 |INFO| 找到主窗口:
20260823 15:45:37 |INFO|   标题: {main_window_info['title']}
20260823 15:45:37 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:40 |INFO| 找到主窗口:
20260823 15:45:40 |INFO|   标题: {main_window_info['title']}
20260823 15:45:40 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:41 |INFO| 找到主窗口:
20260823 15:45:41 |INFO|   标题: {main_window_info['title']}
20260823 15:45:41 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:45:43 |INFO| 找到主窗口:
20260823 15:45:43 |INFO|   标题: {main_window_info['title']}
20260823 15:45:43 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:48:33 |INFO| 找到主窗口:
20260823 15:48:33 |INFO|   标题: {main_window_info['title']}
20260823 15:48:33 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:48:35 |INFO| 找到主窗口:
20260823 15:48:35 |INFO|   标题: {main_window_info['title']}
20260823 15:48:35 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:48:37 |INFO| 找到主窗口:
20260823 15:48:37 |INFO|   标题: {main_window_info['title']}
20260823 15:48:37 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
20260823 15:48:37 |INFO| 找到主窗口:
20260823 15:48:37 |INFO|   标题: {main_window_info['title']}
20260823 15:48:37 |INFO|   尺寸: {main_window_info['width']}x{main_window_info['height']}
